schoolName,state,website,stateAbb,schoolType,charterSchool,magnetSchool,locale,totalStudents,lowestGrade,highestGrade,totalRace,raceNative,raceAsian,raceHispanic,raceBlack,raceWhite,raceHawaiian,raceMultiple,studentTeacherRatio,teacherCount,matches,pWhite,pBlack,pHispanic,dressCode,handbookYear,uniform,entered
BERLIN HIGH SCHOOL,New York,www.berlincentral.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,225,9th Grade,12th Grade,225,0,2,2,0,220,NA,1,11.79,19.08,handbook,98,0,1,http://berlincentral.org/wp-content/uploads/2016/06/CodeOfConduct-2015-16.pdf,2018-2019,FALSE,
DESERT HOT SPRINGS HIGH,California,www.psusd.us,CA ,1-Regular school,2-No,2-No,31-Town: Fringe,1726,9th Grade,12th Grade,1726,9,23,1316,140,217,2,19,22.71,76,guide,13,8,76,https://docs.google.com/document/d/1IuTsL2HxLc7lKUHVipTcM2c7vvxVRyfp7JOSdUiR7Ss/edit,2018-2019,FALSE,
CENTENNIAL HIGH SCHOOL,Minnesota,http://www.isd12.org/chs/index.html,MN ,1-Regular school,2-No,2-No,21-Suburb: Large,1944,9th Grade,12th Grade,1944,14,99,82,48,1659,1,41,20.39,95.36,handbook,85,2,4,https://www.isd12.org/sites/default/files/downloads/final_chs_handbook_2018-19_with_cover_7-2018.pdf,2018-2019,FALSE,
CROOMS ACADEMY OF INFORMATION TECHNOLOGY,Florida,http://www.scps.k12.fl.us/schools/schoolinfopage.cfm?schoolnumber=0251,FL ,1-Regular school,2-No,1-Yes,13-City: Small,628,9th Grade,12th Grade,628,2,29,158,77,345,3,14,14.95,42,guide,55,12,25,https://www.scps.k12.fl.us/_resources/documents/DressCode.pdf,2018-2019,FALSE,
SOUTH TAMA COUNTY HIGH SCHOOL,Iowa,www.s-tama.k12.ia.us,IA ,1-Regular school,2-No,NA,41-Rural: Fringe,445,9th Grade,12th Grade,445,63,4,134,7,235,0,2,13.69,32.5,handbook,53,2,30,https://drive.google.com/file/d/0B1MIpjhpjvrBUnMxNy1aSVE4Y29qMzRFZXNtTkZSYmx0TXk0/view,2018-2019,FALSE,
UPTON HIGH SCHOOL,Wyoming,http://www.weston7.org,WY ,1-Regular school,2-No,2-No,43-Rural: Remote,91,9th Grade,12th Grade,91,1,0,4,0,85,0,1,7.54,12.07,handbook,93,0,4,https://docs.google.com/document/d/13XZAWp8oSHJ8kMwKX6i1_NAgoWfMo8K1607_ijSwckQ/edit,2018-2019,FALSE,
ITASCA H S,Texas,www.itascaisd.org,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,215,9th Grade,12th Grade,215,2,3,87,19,100,0,4,9.33,23.04,handbook,47,9,40,http://www.itascaisd.org/districtdocs/StudentHandbooks/18-19%20IISD%20Student%20Handbook.pdf,2018-2019,FALSE,
WATTS HS,Oklahoma,wattsschool.com,OK ,1-Regular school,2-No,NA,41-Rural: Fringe,113,9th Grade,12th Grade,113,35,3,16,0,33,0,26,15.56,7.26,handbook,29,0,14,http://www.wattsschool.com/?PageName=%27Handbook%27,2018-2019,FALSE,
DUKE HS,Oklahoma,www.dukeschools.com,OK ,1-Regular school,2-No,NA,43-Rural: Remote,58,9th Grade,12th Grade,58,3,0,11,2,41,0,1,10.76,5.39,handbook,71,3,19,http://dukeschools.com/student-handbook/,2018-2019,FALSE,
LINCOLN CO HIGH SCHOOL,Montana,www.lchigh.net,MT ,1-Regular school,NA,2-No,43-Rural: Remote,275,9th Grade,12th Grade,275,8,3,19,0,237,0,8,15.57,17.66,handbook,86,0,7,https://docs.google.com/document/d/1gJS8q1ZoSJ7lx7UHo15cx5cj8qkVtpVaWtvnkSsiDXY/edit,2018-2019,FALSE,
CASE HIGH,Wisconsin,www.rusd.org,WI ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1940,9th Grade,12th Grade,1940,5,50,435,508,901,0,41,16.1,120.52,guide,46,26,22,https://www.rusd.org/sites/default/files/uploads/Code%20Book%202018-2019%20Final.pdf,2018-2019,FALSE,
HAYWARD HIGH,Wisconsin,www.hayward.k12.wi.us,WI ,1-Regular school,2-No,2-No,33-Town: Remote,524,9th Grade,12th Grade,524,130,1,16,3,344,2,28,14.28,36.69,handbook,66,1,3,http://hs.hayward.k12.wi.us/UserFiles/Servers/Server_429769/Image/Student%20Services/Student%20Handbook%202018-19.pdf,2018-2019,FALSE,
PELHAM MEMORIAL HIGH SCHOOL,New York,www.pelhamschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,862,9th Grade,12th Grade,862,0,32,160,61,580,NA,29,14.38,59.93,guide,67,7,19,https://www.pelhamschools.org/district_code_of_conduct,2018-2019,FALSE,
IOWA-GRANT HIGH,Wisconsin,www.igs.k12.wi.us,WI ,1-Regular school,2-No,2-No,43-Rural: Remote,194,9th Grade,12th Grade,194,1,0,6,0,185,0,2,10.43,18.6,handbook,95,0,3,https://www.igs.k12.wi.us/UserFiles/Servers/Server_73105/File/For%20parents/Expectations%20Code%20of%20Conduct/IGHS_Handbook.pdf,2018-2019,FALSE,
JUNCTION CITY SR HIGH,Kansas,www.usd475.org,KS ,1-Regular school,2-No,2-No,31-Town: Fringe,1671,9th Grade,12th Grade,1671,13,42,276,378,786,22,154,12.13,137.8,handbook,47,23,17,https://web.usd475.org/school/jchs/ourschool/_layouts/15/WopiFrame.aspx?sourcedoc=/school/jchs/ourschool/Shared%20Documents/JCHS_STUDENT_INFORMATION_BOOK.pdf&action=default,2018-2019,FALSE,
NEWNAN HIGH SCHOOL,Georgia,cowetaschools.org,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,2299,9th Grade,12th Grade,2299,8,12,122,627,1461,1,68,18.39,125,manual,64,27,5,http://www.cowetaschools.org/nhs/images/assets/2018/FY19-NHS-Handbook-FINAL.pdf,2018-2019,FALSE,
JAMES BOWIE H S,Texas,www.simmsisd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,159,9th Grade,12th Grade,159,0,0,11,0,143,0,5,8.31,19.13,handbook,90,0,7,https://www.simmsisd.net/207362_2,2018-2019,FALSE,
ROYAL VALLEY HIGH,Kansas,www.rv337.com,KS ,1-Regular school,2-No,2-No,42-Rural: Distant,259,9th Grade,12th Grade,259,66,2,13,5,167,1,5,9.63,26.9,handbook,64,2,5,http://www.rv337.com/vimages/shared/vnews/stories/58f4c51543769/2018-19%20HSStudent%20Handbook.pdf,2018-2019,FALSE,
HABERSHAM CENTRAL HIGH SCHOOL,Georgia,www.habershamschools.com,GA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1365,9th Grade,12th Grade,1365,0,41,339,30,922,0,33,17.19,79.4,guide,68,2,25,http://images.pcmac.org/Uploads/HabershamCounty/HabershamCounty/Sites/DocumentsCategories/Documents/Student%20Handbook%2018-19_%7BSISC7B4667EF46B%7D.pdf,2018-2019,FALSE,
HIRSCHI H S,Texas,www.wfisd.net,TX ,1-Regular school,2-No,1-Yes,12-City: Mid-size,851,9th Grade,12th Grade,851,7,24,278,243,260,2,37,12.84,66.26,handbook,31,29,33,https://www.wfisd.net/cms/lib/TX01000557/Centricity/Domain/80/18-19%20Student%20Handbook%20with%20COC%20and%20ACC%20for%20webpage.pdf,2018-2019,FALSE,
WATERLOO HIGH,Wisconsin,www.waterloo.k12.wi.us,WI ,1-Regular school,2-No,2-No,41-Rural: Fringe,281,9th Grade,12th Grade,281,0,6,43,2,226,1,3,15.03,18.69,handbook,80,1,15,https://drupal.waterloo.k12.wi.us/sites/default/files/2018-08/HS%20Parent-Student%20Handbook%202018-19.pdf,2018-2019,FALSE,
WINONA H S,Texas,www.winonaisd.org,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,276,9th Grade,12th Grade,276,0,2,76,69,126,0,3,14.07,19.62,handbook,46,25,28,http://www.winonaisd.org/common/pages/DisplayFile.aspx?itemId=45925236,2018-2019,FALSE,
MADISON HIGH SCHOOL,Oregon,www.pps.k12.or.us/schools/madison/,OR ,1-Regular school,2-No,NA,11-City: Large,1132,9th Grade,12th Grade,1132,14,162,268,196,374,16,102,17.52,64.6,guide,33,17,24,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/44/2018-19%20SRR%20English.pdf,2018-2019,FALSE,
SPRING CREEK HIGH,Nevada,http://www.schs.ecsdnv.net/,NV ,1-Regular school,2-No,2-No,41-Rural: Fringe,864,9th Grade,12th Grade,864,16,8,82,4,746,5,3,19.2,45,handbook,86,0,9,http://www.schs.ecsdnv.net/UserFiles/Servers/Server_143537/File/Student%20Handbook%2018-19%202.pdf,2018-2019,FALSE,
SLATON H S,Texas,www.slatonisd.net,TX ,1-Regular school,2-No,2-No,31-Town: Fringe,341,9th Grade,12th Grade,341,1,0,240,19,81,0,0,8.86,38.49,handbook,24,6,70,http://www.slatonisd.net/UserFiles/Servers/Server_20790354/Image/CO/STUDENT%20DRESS%20CODE%2018-19.pdf,2018-2019,FALSE,
BROCKTON HIGH,Massachusetts,www.brocktonpublicschools.com,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,4250,9th Grade,12th Grade,4250,13,106,522,2588,886,7,128,16.75,253.79,handbook,21,61,12,https://resources.finalsite.net/images/v1537831602/brockton/qt9yuyxywzbaib1xqi8r/BrocktonHighSchoolStudentHandbook.pdf,2018-2019,FALSE,
REPUBLIC HIGH,Missouri,www.republicschools.org,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,1389,9th Grade,12th Grade,1389,7,8,38,33,1293,1,9,18.04,76.98,guide,93,2,3,https://docs.google.com/viewerng/viewer?url=https://www.republicschools.org//cms/lib/MO01910112/Centricity/Domain/130/RHS+Student+Handbook+2018.19+scope+seq.pdf,2018-2019,FALSE,
KNOB NOSTER HIGH,Missouri,www.knobnoster.k12.mo.us,MO ,1-Regular school,2-No,2-No,32-Town: Distant,322,9th Grade,12th Grade,322,1,13,21,32,243,4,8,12.24,26.31,handbook,75,10,7,http://hs.knobnoster.k12.mo.us/UserFiles/Servers/Server_80833/File/Publications/Student%20Handbook%202018-2019%20(1).pdf,2018-2019,FALSE,
BLIND HIGH SCHOOL (FSDB),Florida,http://www.fsdb.k12.fl.us/,FL ,2-Special education school,2-No,2-No,23-Suburb: Small,94,9th Grade,12th Grade,94,0,2,19,16,53,0,4,4.95,19,handbook,56,17,20,http://www.fsdb.k12.fl.us/wp-content/uploads/2014/02/FSDB-PSH-2018-2019-Digital-Edition-Compressed-En.pdf,2018-2019,FALSE,
ABILENE HIGH SCHOOL,Kansas,http://www.abileneschools.org,KS ,1-Regular school,2-No,2-No,32-Town: Distant,524,9th Grade,12th Grade,524,2,0,27,11,466,0,18,12.94,40.5,handbook,89,2,5,http://www.abileneschools.org/UserFiles/Servers/Server_321530/File/AHS%20Student%20Handbook%2018-19.pdf,2018-2019,FALSE,
BLUE HILLS REGIONAL VOCATIONAL TECHNICAL,Massachusetts,www.bluehills.org,MA ,3-Vocational school,2-No,2-No,21-Suburb: Large,882,9th Grade,12th Grade,882,11,9,85,194,551,1,31,11.1,79.49,handbook,62,22,10,https://www.bluehills.org/assets/text_editor_uploads/Students%20and%20Parents/2018-2019%20Student%20Handbook.pdf,2018-2019,FALSE,
TIMBERLINE HIGH SCHOOL,Washington,nthurston.k12.wa.us,WA ,1-Regular school,2-No,–,22-Suburb: Mid-size,1812,9th Grade,12th Grade,1812,24,115,301,122,956,50,244,22.07,82.1,guide,53,7,17,https://www.nthurston.k12.wa.us/cms/lib/WA01001371/Centricity/Domain/46/NTPS_DressCode.pdf,2018-2019,FALSE,
GRIGGS COUNTY CENTRAL HIGH SCHOOL,North Dakota,http://www.griggs-co.k12.nd.us,ND ,1-Regular school,NA,NA,43-Rural: Remote,63,9th Grade,12th Grade,63,0,0,0,0,63,0,0,7.59,8.3,manual,100,0,0,https://4.files.edl.io/b97e/08/15/18/202205-94c7d8f6-a5a7-4b01-ad68-b8ad29a84389.pdf,2018-2019,FALSE,
CHILTON HIGH,Wisconsin,www.chilton.k12.wi.us,WI ,1-Regular school,2-No,2-No,41-Rural: Fringe,375,9th Grade,12th Grade,375,1,1,30,1,337,2,3,13.71,27.36,handbook,90,0,8,http://www.chilton.k12.wi.us/images/stories/pdf/chs/chs_parent_student_handbook_english.pdf,2018-2019,FALSE,
CANADIAN H S,Texas,www.canadianisd.net,TX ,1-Regular school,2-No,2-No,33-Town: Remote,270,9th Grade,12th Grade,270,2,0,108,1,157,0,2,10.45,25.84,handbook,58,0,40,http://s3.amazonaws.com/scschoolfiles/1308/chs_student_handbook_2018-2019.pdf,2018-2019,FALSE,
THUNDER MOUNTAIN HIGH SCHOOL,Alaska,http://tmhs.juneauschools.org,AK ,1-Regular school,2-No,2-No,33-Town: Remote,705,9th Grade,12th Grade,705,106,55,43,12,399,23,67,20.26,34.8,guide,57,2,6,https://drive.google.com/file/d/0B3NOkHv8HjKNb2dseTR1NjBzYnB4Qk5lalZ1WHhOcm5MYWVn/view,2018-2019,FALSE,
MANILA HIGH SCHOOL,Arkansas,http://mps.crsc.k12.ar.us,AR ,1-Regular school,2-No,2-No,41-Rural: Fringe,332,9th Grade,12th Grade,332,0,0,24,1,304,0,3,10.95,30.32,handbook,92,0,7,http://mps.crsc.k12.ar.us/pdf/policies/high-school-student-handbook-2018-2019.pdf,2018-2019,FALSE,
NORTH MARION HIGH SCHOOL,Oregon,www.nmarion.k12.or.us,OR ,1-Regular school,2-No,NA,41-Rural: Fringe,622,9th Grade,12th Grade,622,4,7,276,3,314,1,17,20.06,31,manual,50,0,44,https://highschool.nmarion.k12.or.us/for_parents___students/school_information/student_parent_handbook,2018-2019,FALSE,
LAMAR HIGH,Missouri,www.lamar.k12.mo.us,MO ,1-Regular school,2-No,2-No,32-Town: Distant,384,9th Grade,12th Grade,384,2,2,11,0,342,0,27,15.22,25.23,handbook,89,0,3,https://docs.google.com/document/d/1TN7BtPokX5Wc8UPkmSG02FIG2dHuN-PqZVd2U1dN4JE/edit,2018-2019,FALSE,
DICKSON HS,Oklahoma,dickson.k12.ok.us,OK ,1-Regular school,2-No,NA,42-Rural: Distant,375,9th Grade,12th Grade,375,92,3,8,6,246,0,20,14.92,25.13,appearance,66,2,2,https://docs.wixstatic.com/ugd/b481dd_8729e0629ceb49d7b78234a988d3ec12.pdf,2018-2019,FALSE,
MCCURTAIN HS,Oklahoma,www.mccurtain.k12.ok.us,OK ,1-Regular school,2-No,NA,42-Rural: Distant,70,9th Grade,12th Grade,70,34,1,0,0,35,0,0,14,5,guide,50,0,0,https://drive.google.com/file/d/0B_QmfXaZZepSaHNSYzVpZ2V4X3M/view,2018-2019,FALSE,
JURUPA HILLS HIGH,California,www.fusd.net,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,2037,9th Grade,12th Grade,2037,5,59,1725,126,97,7,18,21.46,94.92, dress,5,6,85,http://www.fusdweb.com/sites/hs/JurupaHills/Shared%20Documents/Scholar%20Handbook.pdf,2018-2019,FALSE,
PARDEEVILLE HIGH,Wisconsin,www.pardeeville.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,254,9th Grade,12th Grade,254,0,2,8,3,237,0,4,13.5,18.81,handbook,93,1,3,https://drive.google.com/file/d/1K5qpJvwjkPlgkdJC28dzABYRpHHw8v3Z/view,2018-2019,FALSE,
BAIRD H S,Texas,www.bairdisd.net,TX ,1-Regular school,2-No,2-No,42-Rural: Distant,91,9th Grade,12th Grade,91,0,1,18,0,72,0,0,7.04,12.92,handbook,79,0,20,https://drive.google.com/drive/folders/1sbNszF_hfJdNhQSn6T7nO5xBGqZ8DqPI,2018-2019,FALSE,
WISCONSIN HEIGHTS HIGH,Wisconsin,www.wisheights.k12.wi.us,WI ,1-Regular school,2-No,2-No,41-Rural: Fringe,224,9th Grade,12th Grade,224,0,2,6,8,201,1,6,12.94,17.31,handbook,90,4,3,http://www.wisheights.k12.wi.us/wp-content/uploads/2018/10/2018-19-MSHS-Student-Handbook.pdf,2018-2019,FALSE,
AUBURNDALE SENIOR HIGH SCHOOL,Florida,http://www.auburndalehighschool.com/,FL ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1645,9th Grade,12th Grade,1645,8,8,339,318,929,1,42,20.82,79,guide,56,19,21,http://www.auburndalehighschool.com/policies/,2018-2019,FALSE,
HARTFORD HIGH,Wisconsin,www.huhs.org,WI ,1-Regular school,2-No,2-No,23-Suburb: Small,1401,9th Grade,12th Grade,1401,7,10,84,26,1249,0,25,16.98,82.52,handbook,89,2,6,https://www.huhs.org/academics/DeanofStudents/Student%20Code%20of%20Conduct%20PDF%202018-2019.pdf,2018-2019,FALSE,
BELLEVILLE HIGH,Wisconsin,www.belleville.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,270,9th Grade,12th Grade,270,0,0,18,0,249,0,3,11.88,22.72,handbook,92,0,7,https://www.belleville.k12.wi.us/schools/handbooks/2018-2019%20Planner%20Handbook.pdf,2018-2019,FALSE,
DUNBAR HIGH SCHOOL,Florida,http://dhs.leeschools.net/,FL ,1-Regular school,2-No,1-Yes,13-City: Small,1759,9th Grade,12th Grade,1759,3,26,735,682,284,0,29,22.55,78,handbook,16,39,42,https://dhs.leeschools.net/our_school/dress_code,2018-2019,FALSE,
BURNT HILLS-BALLSTON LAKE SENIOR HIGH SCHOOL,New York,www.bhbl.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1041,9th Grade,12th Grade,1041,1,19,12,9,989,NA,11,12.8,81.35,guide,95,1,1,https://www.bhbl.org/HS/HS_handbook.cfm,2018-2019,FALSE,
UNIVERSITY HIGH,California,www.uhsfresno.com,CA ,1-Regular school,1-Yes,2-No,11-City: Large,482,9th Grade,12th Grade,482,4,156,110,12,177,0,23,24.97,19.3,guide,37,2,23,https://uhsfresno.com/sites/default/files/docs/ParentHandbook18-19.pdf,2018-2019,FALSE,
COUPEVILLE HIGH SCHOOL,Washington,www.coupeville.k12.wa.us,WA ,1-Regular school,2-No,–,41-Rural: Fringe,311,9th Grade,12th Grade,311,1,5,40,7,226,1,31,19.06,16.32,manual,73,2,13,http://www.coupeville.k12.wa.us/UserFiles/Servers/Server_63813/File/Schools/High%20School%20Files/HS%20Handbook%20FINAL%20083018.pdf,2018-2019,FALSE,
PRAIRIE DU CHIEN HIGH,Wisconsin,www.pdc.k12.wi.us,WI ,1-Regular school,2-No,2-No,33-Town: Remote,348,9th Grade,12th Grade,348,2,2,5,4,329,0,6,11.44,30.41,handbook,95,1,1,https://docs.google.com/document/d/1GyOP4238dWbwreIs-PGp4WqYf8MFFPxtaeTc24mYdJg/edit#heading=h.lv2bhu7gydjx,2018-2019,FALSE,
BELMONT HIGH,Massachusetts,www.belmont.k12.ma.us,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1245,9th Grade,12th Grade,1245,0,217,36,56,867,0,69,16.64,74.81,manual,70,4,3,https://docs.google.com/document/d/1Co75dwQ68hMO06sgPkTB6c8I64YYAKLOW0f5APdi9zM/edit,2018-2019,FALSE,
RIDGE POINT H S,Texas,www.fortbend.k12.tx.us/,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,2342,9th Grade,12th Grade,2342,7,244,584,645,788,2,72,18.96,123.53,guide,34,28,25,https://www.fortbendisd.com/cms/lib/TX01917858/Centricity/Domain/91/2018-2019%20Student%20Parent%20Handbook.pdf,2018-2019,FALSE,
OKEECHOBEE HIGH SCHOOL,Florida,http://okeechobeehighschool.sites.thedigitalbell.com/,FL ,1-Regular school,2-No,2-No,41-Rural: Fringe,1755,9th Grade,12th Grade,1755,44,16,622,123,914,2,34,19.72,89,handbook,52,7,35,http://okeechobeehighschool.sites.thedigitalbell.com/student-handbook,2018-2019,FALSE,
BRIDGEWATER-RAYNHAM REGIONAL,Massachusetts,www.bridge-rayn.org,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1528,9th Grade,12th Grade,1528,1,28,39,66,1330,3,61,16.61,92.02,handbook,87,4,3,http://brrhs.bridge-rayn.org/UserFiles/Servers/Server_245875/File/BRRHS%20STUDENT%20HANBOOK%20%202018-2019.pdf,2018-2019,FALSE,
NORTH POLE HIGH SCHOOL,Alaska,http://www.k12northstar.org,AK ,1-Regular school,2-No,2-No,23-Suburb: Small,725,9th Grade,12th Grade,725,59,17,38,10,519,3,79,18.35,39.5,appearance,72,1,5,https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=932&FileName=dresscode.pdf,2018-2019,FALSE,
PARKLAND HS,Pennsylvania,http://www.parklandsd.org/phs/,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,3163,9th Grade,12th Grade,3163,1,293,363,121,2302,1,82,19.32,163.68,guide,73,4,11,https://resources.finalsite.net/images/v1533144316/parklandsdorg/whnuwnltjxdd2grsmy9x/PHS_Handbook.pdf,2018-2019,FALSE,
WINFIELD HIGH,Kansas,www.usd465.com,KS ,1-Regular school,2-No,2-No,41-Rural: Fringe,688,9th Grade,12th Grade,688,7,36,83,9,504,5,44,12.01,57.3,guide,73,1,12,https://drive.google.com/file/d/1Ev5QYhI2eb6hVQTLd6FHRS_Lq-5xd4Q0/view,2018-2019,FALSE,
GLENS FALLS SENIOR HIGH SCHOOL,New York,www.gfsd.org,NY ,1-Regular school,2-No,2-No,13-City: Small,599,9th Grade,12th Grade,599,0,12,16,23,535,NA,13,14.26,42,guide,89,4,3,https://www.gfsd.org/PDFs/HSCodeOfConductnew.pdf,2018-2019,FALSE,
BANKS HIGH SCHOOL,Oregon,www.banks.k12.or.us/,OR ,1-Regular school,2-No,NA,42-Rural: Distant,378,9th Grade,12th Grade,378,2,6,24,0,333,2,11,21.31,17.74,handbook,88,0,6,https://www.banks.k12.or.us/uploads/4/3/1/5/43150659/student_handbook_2018-19__2_.pdf,2018-2019,FALSE,
WEST CENTRAL VALLEY HIGH SCHOOL,Iowa,wcv.k12.ia.us,IA ,1-Regular school,2-No,NA,42-Rural: Distant,260,9th Grade,12th Grade,260,0,2,12,0,243,0,3,11.07,23.48,manual,93,0,5,http://www.wcv.k12.ia.us/vimages/shared/vnews/stories/57a8a815560c6/18-19%20WCV%20Handbook.pdf,2018-2019,FALSE,
BREMEN HIGH SCHOOL,Georgia,www.bremencs.com,GA ,1-Regular school,2-No,2-No,31-Town: Fringe,623,9th Grade,12th Grade,623,0,13,7,30,565,0,8,18.43,33.8,appearance,91,5,1,http://docs.wixstatic.com/ugd/883b0e_110a268d58064d0189154b775d69418c.pdf,2018-2019,FALSE,
MOORHEAD HIGH SCHOOL,Minnesota,https://www.moorheadschools.org,MN ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1703,9th Grade,12th Grade,1703,33,14,116,100,1332,0,108,18.67,91.2,handbook,78,6,7,https://www.moorheadschools.org/documents/download/?ID=565,2018-2019,FALSE,
DANSVILLE HIGH SCHOOL,Michigan,dansville.org,MI ,1-Regular school,2-No,2-No,42-Rural: Distant,263,9th Grade,12th Grade,263,0,2,6,0,254,0,1,20.79,12.65,handbook,97,0,2,https://www.dansville.org/downloads/high_school/dhs_handbook_18-19_updated_9.7.18_1.pdf,2018-2019,FALSE,
RANDOLPH HIGH,Wisconsin,www.rsdwi.org,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,166,9th Grade,12th Grade,166,0,3,10,0,150,0,3,11.49,14.45,handbook,90,0,6,https://drive.google.com/file/d/1xkTCKyEHxEXdGxECvaJ7xRnPHGtYVTRw/view,2018-2019,FALSE,
MELROSE-MINDORO HIGH,Wisconsin,www.mel-min.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,217,9th Grade,12th Grade,217,0,9,4,3,195,1,5,13.26,16.37,handbook,90,1,2,https://www.mel-min.k12.wi.us/cms_files/resources/High%20School%20Handbook%202018-19.pdf,2018-2019,FALSE,
HIDDEN VALLEY HIGH SCHOOL,Oregon,www.threerivers.k12.or.us,OR ,1-Regular school,2-No,NA,41-Rural: Fringe,628,9th Grade,12th Grade,628,15,3,54,5,539,0,12,24.28,25.87,handbook,86,1,9,https://drive.google.com/file/d/1Ltgztmz9avGW4NVY-UDMhCEYBbX55hft/view,2018-2019,FALSE,
HELENA HIGH SCHOOL,Alabama,http://www.shelbyed.k12.al.us/schools/hhs,AL ,1-Regular school,2-No,2-No,41-Rural: Fringe,1152,9th Grade,12th Grade,1152,8,15,55,154,903,2,15,20.03,57.5,handbook,78,13,5,http://www.shelbyed.k12.al.us/about_our_system/codeofconduct/18-19-COC-Middle-High.pdf,2018-2019,FALSE,
MANSFIELD HIGH,Massachusetts,www.mansfieldschools.com,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1333,9th Grade,12th Grade,1333,7,54,40,35,1172,2,23,13.82,96.48,guide,88,3,3,http://mansfieldhs.ss8.sharpschool.com/common/pages/UserFile.aspx?fileId=49512543,2018-2019,FALSE,
PALM SPRINGS HIGH,California,www.psusd.us,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,1778,9th Grade,12th Grade,1778,14,125,1040,159,409,10,21,25.75,69.04,guide,23,9,58,https://docs.wixstatic.com/ugd/b60a73_b85eca3ddb4243ca9f991b70c6dba88d.pdf,2018-2019,FALSE,
DEARBORN HIGH SCHOOL,Michigan,www.dearbornschools.org,MI ,1-Regular school,2-No,2-No,13-City: Small,1977,9th Grade,12th Grade,1977,2,13,50,115,1791,2,4,21.42,92.3,guide,91,6,3,https://drive.google.com/file/d/0B8NqF2BsyHP_N2VuMW51U2NjMmh2Zk5PU29UbHhFcmJQbGZj/view,2018-2019,FALSE,
MONTEVALLO HIGH SCH,Alabama,www.shelbyed.k12.al.us/schools/mhs/index.htm,AL ,1-Regular school,2-No,2-No,21-Suburb: Large,407,9th Grade,12th Grade,407,1,4,57,99,235,0,11,15.36,26.5, dress,58,24,14,http://www.shelbyed.k12.al.us/schools/mhs/docs/18-19-Handbook.pdf,2018-2019,FALSE,
ROBICHAUD SENIOR HIGH SCHOOL,Michigan,www.westwood.k12.mi.us,MI ,1-Regular school,2-No,2-No,21-Suburb: Large,419,9th Grade,12th Grade,419,0,3,5,390,20,1,0,14.4,29.1,handbook,5,93,1,http://robichaudhs.com/#1448906764554-71762f49-6695,2018-2019,FALSE,
RUSSELLVILLE HIGH,Missouri,www.cole-mo.schoolloop.com,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,203,9th Grade,12th Grade,203,0,1,2,0,196,2,2,11.73,17.3,appearance,97,0,1,http://cole-mo.schoolloop.com/file/1468166193343/1376459455450/4685755838131199130.pdf,2018-2019,FALSE,
SHIOCTON HIGH,Wisconsin,www.shiocton.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,223,9th Grade,12th Grade,223,2,0,15,0,206,0,0,12.42,17.95,handbook,92,0,7,https://www.shiocton.k12.wi.us/students/Handbook7to12_1819_CC.pdf,2018-2019,FALSE,
GILMANTON HIGH,Wisconsin,www.ghs.k12.wi.us,WI ,1-Regular school,2-No,2-No,42-Rural: Distant,52,9th Grade,12th Grade,52,0,1,1,1,48,0,1,9.3,5.59,handbook,92,2,2,https://www.ghs.k12.wi.us/cms_files/resources/hs%20student%20handbook%201819%20rev1.pdf,2018-2019,FALSE,
LULING H S,Texas,luling.txed.net,TX ,1-Regular school,2-No,2-No,32-Town: Distant,389,9th Grade,12th Grade,389,0,0,235,22,126,0,6,13.72,28.35,manual,32,6,60,https://4.files.edl.io/76ab/09/05/18/023453-852dcf3f-e6f5-489e-94ee-084d8dc4f09f.pdf,2018-2019,FALSE,
