"schoolName","state","website","stateAbb","schoolType","charterSchool","magnetSchool","locale","totalStudents","lowestGrade","highestGrade","totalRace","raceNative","raceAsian","raceHispanic","raceBlack","raceWhite","raceHawaiian","raceMultiple","studentTeacherRatio","teacherCount","matches","pWhite","pBlack","pHispanic"
"MCKELLAR VOCATIONAL CENTER","Mississippi","www.columbuscityschools.org/mckellar","MS ","3-Vocational school","2-No","2-No","33-Town: Remote",NA,"9th Grade","12th Grade",0,NA,NA,NA,NA,NA,NA,NA,NA,4,"handbook",NA,NA,NA
"MCLEOD H S","Texas","www.mcleodisd.net","TX ","1-Regular school","2-No","2-No","42-Rural: Distant",110,"9th Grade","12th Grade",110,0,1,2,0,106,0,1,8.46,13,"handbook",96,0,2
"MCLOUTH HIGH","Kansas","www.mclouth.org","KS ","1-Regular school","2-No","2-No","42-Rural: Distant",141,"9th Grade","12th Grade",141,1,0,8,0,122,0,10,10.11,13.95," dress",87,0,6
"MEDFIELD SENIOR HIGH","Massachusetts","medfield.net","MA ","1-Regular school","2-No","2-No","21-Suburb: Large",867,"9th Grade","12th Grade",867,0,43,17,3,782,2,20,13.29,65.22,"guide",90,0,2
"MEDFORD HIGH","Massachusetts","www.medford.k12.ma.us/High","MA ","1-Regular school","2-No","2-No","21-Suburb: Large",1195,"9th Grade","12th Grade",1195,2,118,118,199,722,0,36,12.45,96,"guide",60,17,10
"MEDFORD HIGH","Wisconsin","www.medford.k12.wi.us","WI ","1-Regular school","2-No","2-No","32-Town: Distant",676,"9th Grade","12th Grade",676,0,3,26,6,633,3,5,14.34,47.14,"handbook",94,1,4
"MEDFORD VOCATIONAL TECHNICAL HIGH","Massachusetts","www.medford.k12.ma.us/VocTech","MA ","3-Vocational school","2-No","2-No","21-Suburb: Large",265,"9th Grade","12th Grade",265,0,4,26,40,186,0,9,7.81,33.91,"guide",70,15,10
"MELCHER-DALLAS HIGH SCHOOL","Iowa","http://mdcsd-ia.schoolloop.com/","IA ","1-Regular school","2-No",NA,"42-Rural: Distant",82,"9th Grade","12th Grade",82,0,1,2,3,76,0,0,9.13,8.98,"manual",93,4,2
"MELROSE HIGH","New Mexico","http://www.melroseschools.org/","NM ","1-Regular school","2-No",NA,"43-Rural: Remote",54,"9th Grade","12th Grade",54,3,0,16,0,33,0,2,8.57,6.3,"handbook",61,0,30
"MELROSE-MINDORO HIGH","Wisconsin","www.mel-min.k12.wi.us","WI ","1-Regular school","2-No","2-No","42-Rural: Distant",217,"9th Grade","12th Grade",217,0,9,4,3,195,1,5,13.26,16.37,"handbook",90,1,2
"MEMORIAL HS","Oklahoma","edmondschools.net","OK ","1-Regular school","2-No",NA,"21-Suburb: Large",2155,"9th Grade","12th Grade",2155,54,69,220,184,1481,3,144,20.58,104.71,"handbook",69,9,10
"MEMORIAL PATHWAY ACADEMY H S","Texas","www.garlandisd.net/memorial","TX ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",149,"9th Grade","12th Grade",149,2,2,94,15,36,0,0,6.95,21.45,"guide",24,10,63
"MENCHVILLE HIGH","Virginia","http://mville.nn.k12.va.us/","VA ","1-Regular school","2-No","2-No","12-City: Mid-size",1578,"9th Grade","12th Grade",1578,6,51,122,598,755,0,46,16.12,97.89,"handbook",48,38,8
"MENDENHALL HIGH SCHOOL","Mississippi","http://www.simpson.k12.ms.us/Mend_High","MS ","1-Regular school","2-No","2-No","42-Rural: Distant",542,"9th Grade","12th Grade",542,0,1,0,291,250,0,0,15.16,35.75,"manual",46,54,0
"MENLO PARK ACADEMY","Minnesota","http://www.mpls.k12.mn.us/","MN ","4-Alternative/other school","2-No","2-No","11-City: Large",67,"9th Grade","12th Grade",67,10,1,8,33,14,0,1,11.88,5.64,"guide",21,49,12
"MENOMONIE HIGH","Wisconsin","www.sdmaonline.com","WI ","1-Regular school","2-No","2-No","41-Rural: Fringe",962,"9th Grade","12th Grade",962,1,59,28,7,833,2,32,16.73,57.5,"handbook",87,1,3
"MERC","Minnesota","http://www.mpls.k12.mn.us/","MN ","4-Alternative/other school","2-No","2-No","11-City: Large",65,"9th Grade","12th Grade",65,0,2,17,37,9,0,0,16.93,3.84,"guide",14,57,26
"MERCEDES ACADEMIC ACADEMY","Texas","www.misdtx.net","TX ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",80,"9th Grade","12th Grade",80,0,0,79,0,1,0,0,7.2,11.11,"handbook",1,0,99
"MERCEDES EARLY COLLEGE ACADEMY","Texas","www.misdtx.net","TX ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",328,"9th Grade","12th Grade",328,1,0,323,1,2,0,1,17.11,19.17,"handbook",1,0,98
"MERCEDES H S","Texas","www.misdtx.net","TX ","1-Regular school","2-No","2-No","21-Suburb: Large",1109,"9th Grade","12th Grade",1109,3,1,1094,1,9,0,1,13.65,81.26,"handbook",1,0,99
"MERCER & BLUMBERG LRN CTR","Texas","www.seguin.k12.tx.us","TX ","4-Alternative/other school","2-No","2-No","31-Town: Fringe",119,"9th Grade","12th Grade",119,1,0,91,10,17,0,0,15.8,7.53,"handbook",14,8,76
"MERCER COUNTY CAREER CENTER","Pennsylvania","http://www.mercerccc.org","PA ","3-Vocational school","2-No","2-No","41-Rural: Fringe",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,0,17,"guide",NA,NA,NA
"MERKEL H S","Texas","www.merkel.esc14.net","TX ","1-Regular school","2-No","2-No","42-Rural: Distant",320,"9th Grade","12th Grade",320,4,0,76,6,225,1,8,9.18,34.85,"guide",70,2,24
"MERRILL HIGH","Wisconsin","www.maps.k12.wi.us","WI ","1-Regular school","2-No","2-No","32-Town: Distant",855,"9th Grade","12th Grade",855,6,2,10,15,815,4,3,16.01,53.4,"handbook",95,2,1
"MESA HIGH SCHOOL","Arizona","www.mpsaz.org/mesa/","AZ ","1-Regular school","2-No","–","11-City: Large",3480,"9th Grade","12th Grade",3480,77,50,2145,142,1013,27,26,22.29,156.15,"handbook",29,4,62
"MESQUITE H S","Texas","www.mesquiteisd.org","TX ","1-Regular school","2-No","2-No","21-Suburb: Large",2892,"9th Grade","12th Grade",2892,9,57,1590,765,425,3,43,17.17,168.48,"handbook",15,26,55
"METHACTON HS","Pennsylvania","http://www.methacton.org","PA ","1-Regular school","2-No","2-No","21-Suburb: Large",1628,"9th Grade","12th Grade",1628,0,241,37,56,1238,1,55,13.58,119.9,"guide",76,3,2
"METHOD SCHOOLS HIGH","CALIFORNIA","http://methodschools.org/","CA ","1-Regular school","1-Yes","2-No","13-City: Small",6,"9th Grade","12th Grade",6,0,1,2,0,2,0,1,4,1.5,"handbook",33,0,33
"METHUEN HIGH","Massachusetts","www.methuen.k12.ma.us","MA ","1-Regular school","2-No","2-No","21-Suburb: Large",1905,"9th Grade","12th Grade",1905,7,79,606,69,1120,1,23,13.94,136.61,"manual",59,4,32
"METRO BLVD ALT HIGH","Kansas","http://www.usd259.org","KS ","1-Regular school","2-No","2-No","11-City: Large",99,"9th Grade","12th Grade",99,1,0,24,44,19,0,11,NA,NA,"guide",19,44,24
"METRO MERIDIAN ALT HIGH","Kansas","http://www.usd259.org","KS ","1-Regular school","2-No","2-No","11-City: Large",137,"9th Grade","12th Grade",137,3,0,46,17,59,1,11,9.79,14,"guide",43,12,34
"METROCENTER ACADEMY","Arizona","http://www.guhsdaz.org/cms","AZ ","4-Alternative/other school","2-No","–","11-City: Large",162,"9th Grade","12th Grade",162,8,1,92,14,42,0,5,13.5,12,"handbook",26,9,57
"METTER HIGH SCHOOL","Georgia","www.metter.org","GA ","1-Regular school","2-No","2-No","33-Town: Remote",561,"9th Grade","12th Grade",561,0,3,80,163,302,2,11,17,33,"guide",54,29,14
"MIAMI BEACH SENIOR HIGH SCHOOL","Florida","http://miamibeachhigh.dadeschools.net","FL ","1-Regular school","2-No","2-No","13-City: Small",2435,"9th Grade","12th Grade",2435,3,45,1617,192,570,0,8,22.97,106,"handbook",23,8,66
"MIAMI CENTRAL SENIOR HIGH SCHOOL","Florida","http://miamicentral.dadeschools.net","FL ","1-Regular school","2-No","1-Yes","21-Suburb: Large",1832,"9th Grade","12th Grade",1832,0,4,343,1468,12,2,3,16.5,111,"handbook",1,80,19
"MIAMI COMMUNITY CHARTER HIGH SCHOOL","Florida","http://www.dadeschools.net","FL ","1-Regular school","1-Yes","2-No","21-Suburb: Large",247,"9th Grade","12th Grade",247,0,1,219,22,5,0,0,247,1,"guide",2,9,89
"MIAMI HS","Oklahoma","http://miami.k12.ok.us","OK ","1-Regular school","2-No",NA,"32-Town: Distant",630,"9th Grade","12th Grade",630,137,2,28,6,300,14,143,13.8,45.65,"manual",48,1,4
"MIAMI KILLIAN SENIOR HIGH SCHOOL","Florida","http://killian.dadeschools.net/","FL ","1-Regular school","2-No","1-Yes","13-City: Small",2178,"9th Grade","12th Grade",2178,4,31,1396,469,257,1,20,24.47,89,"guide",12,22,64
"MIAMI NORLAND SENIOR HIGH SCHOOL","Florida","http://mnorland.dadeschools.net/","FL ","1-Regular school","2-No","1-Yes","21-Suburb: Large",1712,"9th Grade","12th Grade",1712,2,5,76,1611,12,0,6,17.65,97,"manual",1,94,4
"MIAMI NORTHWESTERN SENIOR HIGH","Florida","http://northwestern.dadeschools.net/","FL ","1-Regular school","2-No","1-Yes","11-City: Large",1640,"9th Grade","12th Grade",1640,0,1,127,1505,5,0,2,17.45,94,"handbook",0,92,8
"MIAMI SPRINGS SENIOR HIGH SCHOOL","Florida","http://miamisprings.dadeschools.net/","FL ","1-Regular school","2-No","1-Yes","21-Suburb: Large",1687,"9th Grade","12th Grade",1687,1,12,1379,212,80,0,3,22.8,74,"handbook",5,13,82
"MID CITY HIGH","Iowa","www.davenportschools.org/midcity","IA ","4-Alternative/other school","2-No",NA,"12-City: Mid-size",265,"9th Grade","12th Grade",265,0,1,45,55,146,1,17,10.93,24.25,"handbook",55,21,17
"MIDDLE CREEK HIGH","North Carolina","middlecreekhs.wcpss.net","NC ","1-Regular school","2-No","2-No","21-Suburb: Large",2283,"9th Grade","12th Grade",2283,13,43,354,430,1367,3,73,19.39,117.75,"handbook",60,19,16
"MIDDLE PARK HIGH SCHOOL","Colorado","http://mphs.egsd.org","CO ","1-Regular school","2-No","2-No","43-Rural: Remote",373,"9th Grade","12th Grade",373,2,4,35,2,322,3,5,15.87,23.5," dress",86,1,9
"MIDDLEBURG HIGH SCHOOL","Florida","http://mhs.oneclay.net","FL ","1-Regular school","2-No","2-No","41-Rural: Fringe",1716,"9th Grade","12th Grade",1716,5,10,106,85,1461,3,46,16.34,105,"guide",85,5,6
"MIDDLEBURY SENIOR UHSD #3","Vermont","http://muhs-school.org/","VT ","1-Regular school",NA,"2-No","32-Town: Distant",620,"9th Grade","12th Grade",620,0,8,12,16,575,0,9,13.05,47.5,"guide",93,3,2
"MIDDLETON HIGH","Wisconsin","www.mcpasd.k12.wi.us","WI ","1-Regular school","2-No","2-No","21-Suburb: Large",2026,"9th Grade","12th Grade",2026,6,139,148,103,1579,1,50,16.47,123.04,"handbook",78,5,7
"MIDDLETON HIGH SCHOOL","Florida","http://www.sdhc.k12.fl.us/","FL ","1-Regular school","2-No","1-Yes","11-City: Large",1585,"9th Grade","12th Grade",1585,7,90,304,816,311,4,53,14.81,107,"manual",20,51,19
"MIDLAND H S","Texas","www.midlandisd.net","TX ","1-Regular school","2-No","2-No","12-City: Mid-size",2149,"9th Grade","12th Grade",2149,6,14,1205,190,703,3,28,16.66,129.01,"handbook",33,9,56
"MIDVALLEY ACADEMY-MCALLEN CHARTER H S","Texas","www.sapiacademies.org","TX ","4-Alternative/other school","1-Yes","2-No","12-City: Mid-size",120,"9th Grade","12th Grade",120,0,0,118,0,2,0,0,22.39,5.36,"handbook",2,0,98
"MIDVALLEY ACADEMY-MERCEDES CHARTER H S","Texas","www.sapiacademies.org","TX ","4-Alternative/other school","1-Yes","2-No","21-Suburb: Large",111,"9th Grade","12th Grade",111,0,0,110,0,1,0,0,19.01,5.84,"handbook",1,0,99
"MIDVALLEY ACADEMY-SAN BENITO CHARTER H S","Texas","www.sapiacademies.org","TX ","4-Alternative/other school","1-Yes","2-No","22-Suburb: Mid-size",135,"9th Grade","12th Grade",135,0,0,134,0,1,0,0,22.2,6.08,"handbook",1,0,99
"MIDWAY HIGH SCHOOL","North Dakota","http://www.midwayk12.org","ND ","1-Regular school",NA,NA,"42-Rural: Distant",59,"9th Grade","12th Grade",59,2,1,8,0,48,0,0,7.23,8.16,"guide",81,0,14
"MIDWAY HS","Oklahoma","MIDWAY.K12.OK.US","OK ","1-Regular school","2-No",NA,"42-Rural: Distant",76,"9th Grade","12th Grade",76,20,0,2,6,39,0,9,13.82,5.5,"handbook",51,8,3
"MILFORD HIGH SCHOOL","New Hampshire","mhs.milfordk12.org","NH ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",825,"9th Grade","12th Grade",825,0,16,28,12,733,0,36,12.24,67.4,"handbook",89,1,3
"MILFORD MILL ACADEMY","Maryland","http://milfordmillhs.bcps.org","MD ","1-Regular school","2-No","1-Yes","21-Suburb: Large",1491,"9th Grade","12th Grade",1491,2,24,60,1369,13,1,22,16.26,91.7,"handbook",1,92,4
"MILLBROOK HIGH","Virginia","http://www.frederick.k12.va.us","VA ","1-Regular school","2-No","2-No","41-Rural: Fringe",1342,"9th Grade","12th Grade",1342,0,32,244,94,917,1,54,13.34,100.59,"handbook",68,7,18
"MILLBROOK HIGH SCHOOL","New York","www.millbrookcsd.org","NY ","1-Regular school","2-No","2-No","42-Rural: Distant",342,"9th Grade","12th Grade",342,0,3,25,11,295,NA,8,14.16,24.16,"guide",86,3,7
"MILLENNIUM CHARTER","California","www.tracylc.net","CA ","1-Regular school","1-Yes","2-No","23-Suburb: Small",510,"9th Grade","12th Grade",510,3,64,250,36,140,1,16,20.04,25.45,"handbook",27,7,49
"MILLENNIUM CHARTER HIGH","California","www.millenniumcharterhighschool.org","CA ","1-Regular school","1-Yes","2-No","12-City: Mid-size",192,"9th Grade","12th Grade",192,2,10,82,7,80,0,11,1600,0.12,"handbook",42,4,43
"MILLER PLACE HIGH SCHOOL","New York","www.millerplace.k12.ny.us","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",900,"9th Grade","12th Grade",900,1,27,56,19,788,NA,9,13.71,65.66,"guide",88,2,6
"MILLIS HIGH SCHOOL","Massachusetts","www.millis.k12.ma.us","MA ","1-Regular school","2-No","2-No","21-Suburb: Large",382,"9th Grade","12th Grade",382,5,6,10,6,349,1,5,14.5,26.34,"guide",91,2,3
"MILOR CONTINUATION HIGH","California","http://mhs-rialto-ca.schoolloop.com/","CA ","4-Alternative/other school","2-No","2-No","21-Suburb: Large",245,"9th Grade","12th Grade",245,0,3,204,23,12,1,2,18.01,13.6," dress",5,9,83
"MILTON HIGH","Wisconsin","www.milton.k12.wi.us","WI ","1-Regular school","2-No","2-No","23-Suburb: Small",1075,"9th Grade","12th Grade",1075,1,18,38,13,990,0,15,17.06,63.02,"handbook",92,1,4
"MILTON SENIOR HIGH SCHOOL","Vermont","http://www.mtsd-vt.org/mhs/","VT ","1-Regular school",NA,"2-No","31-Town: Fringe",492,"9th Grade","12th Grade",492,0,3,3,2,471,0,13,11.18,44,"manual",96,0,1
"MILWAUKEE COLLEGIATE ACADEMY","Wisconsin","www.milwaukeecollegiateacademy.org","WI ","1-Regular school","1-Yes","2-No","11-City: Large",298,"9th Grade","12th Grade",298,0,0,1,291,5,1,0,14.9,20,"handbook",2,98,0
"MILWAUKIE HIGH SCHOOL","Oregon","www.nclack.k12.or.us/Domain/544","OR ","1-Regular school","2-No",NA,"21-Suburb: Large",1051,"9th Grade","12th Grade",1051,10,33,311,29,586,13,69,21.66,48.52,"handbook",56,3,30
"MINCO HS","Oklahoma","http://www.minco.k12.ok.us/","OK ","1-Regular school","2-No",NA,"42-Rural: Distant",159,"9th Grade","12th Grade",159,7,0,15,2,118,0,17,13.1,12.14,"handbook",74,1,9
"MINGO CENTRAL HIGH SCHOOL","West Virginia","http://wvde.state.wv.us","WV ","1-Regular school",NA,NA,"42-Rural: Distant",699,"9th Grade","12th Grade",699,0,2,4,21,669,0,3,12.85,54.4,"guide",96,3,1
"MINGUS UNION HIGH SCHOOL","Arizona","www.muhs.com","AZ ","1-Regular school","2-No","–","32-Town: Distant",1183,"9th Grade","12th Grade",1183,26,4,416,7,698,0,32,21.2,55.8,"handbook",59,1,35
"MINNESOTA ONLINE HIGH SCHOOL","Minnesota","www.mnohs.org","MN ","1-Regular school","1-Yes","2-No","11-City: Large",138,"9th Grade","12th Grade",138,0,5,11,2,115,0,5,9.58,14.4,"handbook",83,1,8
"MINNETONKA SENIOR HIGH","Minnesota","http://www.minnetonka.k12.mn.us/Schools/MinnetonkaHighSchool","MN ","1-Regular school","2-No","2-No","21-Suburb: Large",3089,"9th Grade","12th Grade",3089,7,151,104,100,2689,1,37,20.7,149.2,"handbook",87,3,3
"MIRA MESA HIGH","California","www.miramesahigh.org","CA ","1-Regular school","2-No","2-No","11-City: Large",2426,"9th Grade","12th Grade",2426,6,1193,544,115,336,16,216,23.83,101.81,"guide",14,5,22
"MISSION BAY HIGH","California","www.missionbayhigh.com","CA ","1-Regular school","2-No","1-Yes","11-City: Large",1054,"9th Grade","12th Grade",1054,5,31,622,80,266,4,46,19.44,54.22,"guide",25,8,59
"MISSION HILLS HIGH","California","www.smusd.org","CA ","1-Regular school","2-No","2-No","21-Suburb: Large",2531,"9th Grade","12th Grade",2531,6,185,1311,77,879,21,52,25.92,97.65,"guide",35,3,52
"MIT ACADEMY","California","www.mitacademy.org","CA ","1-Regular school","1-Yes","2-No","12-City: Mid-size",414,"9th Grade","12th Grade",414,2,83,208,62,53,3,3,25.79,16.05,"handbook",13,15,50
"MOBERLY SR. HIGH","Missouri","www.moberly.k12.mo.us","MO ","1-Regular school","2-No","2-No","32-Town: Distant",734,"9th Grade","12th Grade",734,1,4,20,52,617,3,37,16.04,45.76,"handbook",84,7,3
"MODOC HIGH","California","www.modoc.k12.ca.us","CA ","1-Regular school","2-No","2-No","33-Town: Remote",220,"9th Grade","12th Grade",220,17,4,34,5,157,0,3,17.32,12.7,"appearance",71,2,15
"MOHONASEN SENIOR HIGH SCHOOL","New York","www.mohonasen.org","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",946,"9th Grade","12th Grade",946,6,27,32,32,819,NA,30,15.68,60.32,"guide",87,3,3
"MOISES E MOLINA H S","Texas","www.dallasisd.org/molina","TX ","1-Regular school","2-No","2-No","11-City: Large",2089,"9th Grade","12th Grade",2089,3,4,1991,68,20,0,3,17.74,117.74,"handbook",1,3,95
"MONDOVI HIGH","Wisconsin","www.mondovi.k12.wi.us","WI ","1-Regular school","2-No","2-No","42-Rural: Distant",258,"9th Grade","12th Grade",258,3,2,3,2,244,0,4,13.67,18.88,"handbook",95,1,1
"MONO COUNTY ROP","California","www.monocoe.k12.ca.us","CA ","3-Vocational school","2-No","–","43-Rural: Remote",NA,"9th Grade","12th Grade",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"handbook",NA,NA,NA
"MONROE CITY R-I HIGH","Missouri","http://www.MONROE.K12.MO.US/","MO ","1-Regular school","2-No","2-No","43-Rural: Remote",244,"9th Grade","12th Grade",244,0,0,5,22,206,0,11,11.35,21.49,"handbook",84,9,2
"MONROE CO CAREER/TECH CTR","Alabama","www.monroe.k12.al.us","AL ","3-Vocational school","2-No","2-No","41-Rural: Fringe",NA,"9th Grade","12th Grade",0,NA,NA,NA,NA,NA,NA,NA,NA,2.8,"handbook",NA,NA,NA
"MONROE-WOODBURY HIGH SCHOOL","New York","www.mw.k12.ny.us","NY ","1-Regular school","2-No","2-No","21-Suburb: Large",2332,"9th Grade","12th Grade",2332,4,147,457,186,1521,NA,17,16.16,144.33,"manual",65,8,20
"MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL","Massachusetts","http://www.montytech.net","MA ","3-Vocational school","2-No","2-No","22-Suburb: Mid-size",1436,"9th Grade","12th Grade",1436,1,13,196,17,1147,0,62,13.05,110.04,"guide",80,1,14
"MONTE VISTA HIGH","California","www.mvhigh.net","CA ","1-Regular school","2-No","2-No","21-Suburb: Large",2348,"9th Grade","12th Grade",2348,8,440,185,21,1547,4,143,22.88,102.61,"appearance",66,1,8
"MONTEREY HIGH","California","www.mpusd.k12.ca.us","CA ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",1277,"9th Grade","12th Grade",1277,1,110,584,66,390,17,109,19.95,64.02,"manual",31,5,46
"MONTEVALLO HIGH SCH","Alabama","www.shelbyed.k12.al.us/schools/mhs/index.htm","AL ","1-Regular school","2-No","2-No","21-Suburb: Large",407,"9th Grade","12th Grade",407,1,4,57,99,235,0,11,15.36,26.5," dress",58,24,14
"MONTEZUMA-CORTEZ HIGH SCHOOL","Colorado","http://mchs.cortez.k12.co.us/","CO ","1-Regular school","2-No","2-No","33-Town: Remote",642,"9th Grade","12th Grade",642,136,3,112,1,361,0,29,15.56,41.27,"handbook",56,0,17
"MONTGOMERY BLAIR HIGH","Maryland","http://www.mbhs.edu/","MD ","1-Regular school","2-No","1-Yes","21-Suburb: Large",2882,"9th Grade","12th Grade",2882,1,441,931,735,655,1,118,17.36,166,"guide",23,26,32
"MONTGOMERY CO. HIGH","Missouri","www.mc-wildcats.org","MO ","1-Regular school","2-No","2-No","41-Rural: Fringe",377,"9th Grade","12th Grade",377,5,1,6,5,347,0,13,13.76,27.39,"manual",92,1,2
"MONTGOMERY CO. HIGH","Georgia","http://www.mcboe.net","GA ","1-Regular school","2-No","2-No","42-Rural: Distant",294,"9th Grade","12th Grade",294,0,1,30,116,145,0,2,16.15,18.2,"guide",49,39,10
"MONTICELLO HIGH","Wisconsin","www.monticello.k12.wi.us","WI ","1-Regular school","2-No","2-No","42-Rural: Distant",92,"9th Grade","12th Grade",92,0,0,2,0,88,0,2,9.26,9.94,"handbook",96,0,2
"MONTICELLO VOCATIONAL CENTER","Arkansas","www.billies.org","AR ","3-Vocational school","2-No","2-No","33-Town: Remote",0,"9th Grade","12th Grade",0,0,0,0,0,0,0,0,NA,0,"manual",NA,NA,NA
"MONUMENT MT REGIONAL HIGH","Massachusetts","http://www.bhrsd.org","MA ","1-Regular school","2-No","2-No","41-Rural: Fringe",548,"9th Grade","12th Grade",548,1,12,25,12,479,1,18,11.81,46.42,"guide",87,2,5
"MOODY H S","Texas",NA,"TX ","1-Regular school","2-No","2-No","11-City: Large",1666,"9th Grade","12th Grade",1666,0,8,1549,58,49,0,2,17.24,96.61,"manual",3,3,93
"MOON VALLEY HIGH SCHOOL","Arizona","http://moonvalley.guhsdaz.org","AZ ","1-Regular school","2-No","–","11-City: Large",1469,"9th Grade","12th Grade",1469,38,44,621,127,598,7,34,21.6,68,"handbook",41,9,42
"MOORE HS","Oklahoma","www.mooreschools.com","OK ","1-Regular school","2-No",NA,"21-Suburb: Large",2463,"9th Grade","12th Grade",2463,166,57,324,187,1250,4,475,18.29,134.63,"guide",51,8,13
"MOORHEAD HIGH SCHOOL","Minnesota","https://www.moorheadschools.org","MN ","1-Regular school","2-No","2-No","22-Suburb: Mid-size",1703,"9th Grade","12th Grade",1703,33,14,116,100,1332,0,108,18.67,91.2,"handbook",78,6,7
"MORENCI HIGH SCHOOL","Arizona","morenci.k12.az.us","AZ ","1-Regular school","2-No","–","33-Town: Remote",397,"9th Grade","12th Grade",397,13,1,290,9,84,0,0,17.45,22.75,"manual",21,2,73
"MORENO VALLEY HIGH","New Mexico","http://www.mvhsnm.org/Moreno_Valley_High_School/Welcome.html","NM ","1-Regular school","1-Yes",NA,"43-Rural: Remote",66,"9th Grade","12th Grade",66,2,0,15,3,46,0,0,7.5,8.8,"guide",70,5,23
"MORIARTY HIGH","New Mexico","https://sites.google.com/a/mesd.us/moriarty-high-school-home/","NM ","1-Regular school","2-No",NA,"42-Rural: Distant",759,"9th Grade","12th Grade",759,8,5,354,12,361,0,19,18.44,41.16,"handbook",48,2,47
"MORRIS HS","Oklahoma","www.morrisschools.net","OK ","1-Regular school","2-No",NA,"32-Town: Distant",320,"9th Grade","12th Grade",320,69,1,5,9,184,0,52,17.66,18.12,"handbook",57,3,2
"MORRISON HS","Oklahoma","www.morrisonps.com","OK ","1-Regular school","2-No",NA,"42-Rural: Distant",150,"9th Grade","12th Grade",150,1,0,5,0,89,1,54,14.84,10.11,"handbook",59,0,3
"MOSS HS","Oklahoma","http://www.moss.k12.ok.us/","OK ","1-Regular school","2-No",NA,"42-Rural: Distant",88,"9th Grade","12th Grade",88,11,0,5,1,52,0,19,14.74,5.97,"appearance",59,1,6
"MOUNDRIDGE HIGH","Kansas","www.usd423.org","KS ","1-Regular school","2-No","2-No","42-Rural: Distant",122,"9th Grade","12th Grade",122,0,0,9,2,108,0,3,11.09,11,"guide",89,2,7
"MOUNDS HS","Oklahoma","http://www.moundsps.com","OK ","1-Regular school","2-No",NA,"41-Rural: Fringe",180,"9th Grade","12th Grade",180,48,0,14,2,109,0,7,14.74,12.21,"handbook",61,1,8
"MOUNT CALM H S","Texas","www.mcisd1.org","TX ","1-Regular school","2-No","2-No","42-Rural: Distant",47,"9th Grade","12th Grade",47,0,0,8,4,34,0,1,7.45,6.31,"handbook",72,9,17
"MOUNT PLEASANT HIGH","North Carolina","www.cabarrus.k12.nc.us/mountpleasanths","NC ","1-Regular school","2-No","2-No","41-Rural: Fringe",849,"9th Grade","12th Grade",849,10,7,42,32,740,2,16,15.29,55.54,"handbook",87,4,5
"MOUNT UNION AREA SHS","Pennsylvania","http://www.muasd.org","PA ","1-Regular school","2-No","2-No","32-Town: Distant",457,"9th Grade","12th Grade",457,0,2,9,23,404,0,19,14.84,30.79,"handbook",88,5,2
"MOUNT VERNON HIGH SCHOOL","Iowa","www.mountvernon.k12.ia.us","IA ","1-Regular school","2-No",NA,"31-Town: Fringe",414,"9th Grade","12th Grade",414,0,4,4,3,394,0,9,13.9,29.78,"handbook",95,1,1
"MOUNTAIN RANGE HIGH SCHOOL","Colorado","http://mountainrange.adams12.org","CO ","1-Regular school","2-No","2-No","21-Suburb: Large",1991,"9th Grade","12th Grade",1991,21,98,601,46,1203,4,18,21.83,91.19,"handbook",60,2,30
"MOUNTAIN ROSE ACADEMY","Arizona","www.go2rose.com","AZ ","4-Alternative/other school","1-Yes","–","21-Suburb: Large",244,"9th Grade","12th Grade",244,2,3,113,6,115,0,5,NA,NA,"guide",47,2,46
"MOUNTAIN VIEW HIGH (CONTINUATION)","California","www.frjusd.org","CA ","4-Alternative/other school","2-No","2-No","33-Town: Remote",20,"9th Grade","12th Grade",20,4,0,1,0,14,0,1,33.33,0.6,"handbook",70,0,5
"MOUNTAIN VIEW HIGH SCHOOL","Arizona","www.maranausd.org","AZ ","1-Regular school","2-No","–","21-Suburb: Large",1913,"9th Grade","12th Grade",1913,22,30,705,64,1012,3,77,23.12,82.73,"handbook",53,3,37
"MOUNTAIN VIEW HIGH SCHOOL","Wyoming","http://www.uinta4.com","WY ","1-Regular school","2-No","2-No","43-Rural: Remote",238,"9th Grade","12th Grade",238,0,0,7,1,225,2,3,11.27,21.12,"manual",95,0,3
"MT VERNON H S","Texas","www.mtvernonisd.net","TX ","1-Regular school","2-No","2-No","33-Town: Remote",449,"9th Grade","12th Grade",449,1,8,103,26,299,0,12,11.58,38.78,"handbook",67,6,23
"MT. DIABLO HIGH","California","www.mdusd.org","CA ","1-Regular school","2-No","1-Yes","21-Suburb: Large",1307,"9th Grade","12th Grade",1307,1,128,871,124,109,31,43,19.62,66.6,"handbook",8,9,67
"MT. EDGECUMBE HIGH SCHOOL","Alaska","http://www.mehs.us","AK ","1-Regular school","2-No","2-No","41-Rural: Fringe",426,"9th Grade","12th Grade",426,360,6,0,2,50,2,6,19.81,21.5,"handbook",12,0,0
