ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
NEW SCHOOL FOR THE ARTS,Arizona,http://www.aznsa.com/,AZ ,1-Regular school,1-Yes,–,12-City: Mid-size,196,9th Grade,12th Grade,196,5,4,35,19,124,3,6,–,–
NEW SITE HIGH SCHOOL,Mississippi,http://newsitehigh.ms.pch.schoolinsites.com/,MS ,1-Regular school,2-No,2-No,42-Rural: Distant,285,9th Grade,12th Grade,285,="0",="0",="0",2,283,="0",="0",15.75,18.10
NEW SMYRNA BEACH HIGH SCHOOL,Florida,http://www.nsbhigh.com/,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,1974,9th Grade,12th Grade,1974,5,27,95,129,1612,="0",106,18.45,107.00
NEW START,Washington,†,WA ,4-Alternative/other school,2-No,–,21-Suburb: Large,131,9th Grade,12th Grade,131,="0",3,65,15,29,5,14,10.92,12.00
NEW TECH H S AT COPPELL,Texas,www.coppellisd.com,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,360,9th Grade,12th Grade,360,2,51,59,16,223,="0",9,12.66,28.43
NEW TECH HIGH - ZION-BENTON EAST,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,341,9th Grade,12th Grade,341,7,6,135,81,100,="0",12,13.12,26.00
NEW TECH INNOVATIVE INSTITUTE,Indiana,†,IN ,1-Regular school,2-No,2-No,13-City: Small,242,9th Grade,12th Grade,242,1,="0",8,224,1,="0",8,34.57,7.00
NEW TECH INSTITUTE,Indiana,†,IN ,1-Regular school,2-No,2-No,12-City: Mid-size,303,9th Grade,12th Grade,303,1,7,6,14,260,="0",15,7.97,38.00
NEW TECHNOLOGY HIGH,California,†,CA ,1-Regular school,1-Yes,2-No,11-City: Large,238,9th Grade,12th Grade,238,2,7,137,35,48,1,8,15.26,15.60
NEW TECHNOLOGY HIGH,California,http://newtechhigh.org/,CA ,4-Alternative/other school,2-No,2-No,13-City: Small,403,9th Grade,12th Grade,403,1,10,185,3,184,2,18,23.71,17.00
NEW TECHNOLOGY HS - 30,South Dakota,†,SD ,1-Regular school,2-No,†,41-Rural: Fringe,317,9th Grade,12th Grade,317,16,6,24,18,246,="0",7,19.41,16.33
NEW TECHNOLOGY WEST,Ohio,†,OH ,1-Regular school,2-No,–,11-City: Large,305,9th Grade,12th Grade,305,="0",6,115,107,67,1,9,12.20,25.00
NEW TOWN HIGH,Maryland,http://newtownhs.bcps.org,MD ,1-Regular school,2-No,2-No,21-Suburb: Large,986,9th Grade,12th Grade,986,2,5,15,910,34,1,19,15.17,65.00
NEW TOWN HIGH SCHOOL,North Dakota,http://newtown.nd.schoolwebpages.com,ND ,1-Regular school,†,†,43-Rural: Remote,212,9th Grade,12th Grade,212,186,="0",6,2,18,="0",="0",11.82,17.94
NEW UNDERWOOD HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,42-Rural: Distant,86,9th Grade,12th Grade,86,7,="0",1,="0",78,="0",="0",11.75,7.32
NEW URBAN HIGH SCHOOL,Oregon,www.nclack.k12.or.us/Domain/3009,OR ,1-Regular school,2-No,†,21-Suburb: Large,120,9th Grade,12th Grade,120,3,="0",19,3,88,2,5,9.09,13.20
NEW UTRECHT HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,3547,9th Grade,12th Grade,3547,2,1400,1022,134,954,–,35,20.27,174.99
NEW VALLEY CONTINUATION HIGH,California,http://nvhs.ca.campusgrid.net/home,CA ,4-Alternative/other school,2-No,2-No,12-City: Mid-size,135,9th Grade,12th Grade,135,1,6,98,6,19,2,3,12.39,10.90
NEW VILLAGE GIRLS ACADEMY,California,†,CA ,1-Regular school,1-Yes,2-No,11-City: Large,126,9th Grade,12th Grade,126,="0",2,116,3,2,="0",3,16.43,7.67
NEW VISION ALTERNATIVE,Idaho,†,ID ,4-Alternative/other school,2-No,2-No,23-Suburb: Small,166,9th Grade,12th Grade,166,3,1,7,4,145,1,5,23.95,6.93
NEW VISION HIGH,California,www.mantecausd.net,CA ,4-Alternative/other school,2-No,2-No,11-City: Large,100,9th Grade,12th Grade,100,="0",12,50,30,5,="0",3,16.03,6.24
NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES (THE),New York,www.newvisions.org/humanities,NY ,1-Regular school,1-Yes,2-No,11-City: Large,508,9th Grade,12th Grade,508,1,5,288,205,4,–,5,13.47,37.70
NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES II,New York,www.newvisions.org/charter/hum,NY ,1-Regular school,1-Yes,2-No,11-City: Large,441,9th Grade,12th Grade,441,2,3,273,160,3,–,="0",12.96,34.03
NEW VISIONS CHARTER HS-ADV MATH/SCIE,New York,www.newvisions.org/charter/ams,NY ,1-Regular school,1-Yes,2-No,11-City: Large,454,9th Grade,12th Grade,454,5,13,211,200,4,–,21,12.37,36.71
NEW VISIONS CHTR HS-ADV MA/SCI II,New York,www.newvisions.org/charter/ams,NY ,1-Regular school,1-Yes,2-No,11-City: Large,512,9th Grade,12th Grade,512,10,11,251,231,4,–,5,13.47,38.00
NEW VISIONS CHTR HS-ADV MA/SCI IV,NEW YORK,www.newvisions.org/charter/ams,NY ,1-Regular school,1-Yes,2-No,11-City: Large,125,9th Grade,12th Grade,125,2,11,25,84,2,–,1,12.58,9.94
NEW VISTA HIGH SCHOOL,Colorado,†,CO ,1-Regular school,2-No,2-No,12-City: Mid-size,300,9th Grade,12th Grade,300,2,5,57,3,218,2,13,18.67,16.07
NEW WAVERLY H S,Texas,†,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,281,9th Grade,12th Grade,281,3,="0",31,57,186,="0",4,8.42,33.38
NEW WORLD HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,374,9th Grade,12th Grade,374,12,42,247,47,26,–,="0",14.54,25.73
NEW WORLD SCHOOL OF THE ARTS,Florida,http://www.mdc.edu/nwsa/,FL ,1-Regular school,2-No,1-Yes,11-City: Large,504,9th Grade,12th Grade,504,="0",9,313,65,111,="0",6,18.00,28.00
NEWARK COMM HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,176,9th Grade,12th Grade,176,="0",="0",5,="0",171,="0",="0",10.90,16.15
NEWARK HIGH SCHOOL,Delaware,www.newarkhigh.org,DE ,1-Regular school,2-No,2-No,21-Suburb: Large,1317,9th Grade,12th Grade,1317,2,74,236,474,507,="0",24,16.88,78.00
NEWARK HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,23-Suburb: Small,1424,9th Grade,12th Grade,1424,1,8,22,79,1200,1,113,20.53,69.35
NEWARK INNOVATION ACADEMY,New Jersey,†,NJ ,4-Alternative/other school,2-No,†,11-City: Large,105,9th Grade,12th Grade,105,="0",="0",24,78,3,="0",="0",–,–
NEWARK LEADERSHIP ACADEMY,New Jersey,†,NJ ,4-Alternative/other school,2-No,†,11-City: Large,92,9th Grade,12th Grade,92,="0",="0",14,78,="0",="0",="0",5.11,18.00
NEWARK MEMORIAL HIGH,California,www.newarkunified.org,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,1767,9th Grade,12th Grade,1767,7,415,876,90,290,33,56,24.83,71.17
NEWARK PREP CHARTER SCHOOL,New Jersey,†,NJ ,1-Regular school,1-Yes,†,11-City: Large,448,9th Grade,12th Grade,448,1,3,116,326,2,="0",="0",13.58,33.00
NEWARK SENIOR HIGH SCHOOL,New York,www.newarkcsd.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,643,9th Grade,12th Grade,643,="0",7,67,54,495,–,20,11.79,54.56
NEWARK TECH,New Jersey,†,NJ ,3-Vocational school,2-No,†,11-City: Large,758,9th Grade,12th Grade,758,2,4,298,448,4,="0",2,13.65,55.55
NEWARK VOCATIONAL HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,11-City: Large,312,9th Grade,12th Grade,312,="0",="0",31,279,2,="0",="0",10.76,29.00
NEWAYGO HIGH SCHOOL,Michigan,www.newaygo.net,MI ,1-Regular school,2-No,2-No,32-Town: Distant,486,9th Grade,12th Grade,486,3,6,55,3,417,1,1,24.06,20.20
NEWBERG SENIOR HIGH SCHOOL,Oregon,www.newberg.k12.or.us/nhs,OR ,1-Regular school,2-No,†,31-Town: Fringe,1593,9th Grade,12th Grade,1593,10,25,326,19,1149,3,61,20.88,76.29
NEWBERRY COUNTY CAREER CENTER,South Carolina,†,SC ,3-Vocational school,2-No,2-No,41-Rural: Fringe,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",18.00
NEWBERRY HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,32-Town: Distant,800,9th Grade,12th Grade,800,2,3,149,439,192,="0",15,14.29,56.00
NEWBERRY HIGH SCHOOL,Florida,http://www.sbac.edu/pages/ACPS,FL ,1-Regular school,2-No,1-Yes,42-Rural: Distant,630,9th Grade,12th Grade,630,2,5,41,143,408,2,29,22.50,28.00
NEWBURGH FREE ACADEMY,New York,www.newburghschools.org,NY ,1-Regular school,2-No,1-Yes,21-Suburb: Large,3202,9th Grade,12th Grade,3202,6,78,1472,844,762,–,40,13.03,245.76
NEWBURGH PREPARATORY CHARTER HIGH SCHOOL,New York,www.newburghprep.com,NY ,4-Alternative/other school,1-Yes,2-No,21-Suburb: Large,91,9th Grade,12th Grade,91,="0",="0",39,39,13,–,="0",14.58,6.24
NEWBURY PARK HIGH,California,†,CA ,1-Regular school,2-No,2-No,12-City: Mid-size,2511,9th Grade,12th Grade,2511,16,304,513,34,1573,7,64,25.60,98.08
NEWBURYPORT HIGH,Massachusetts,www.newburyport.k12.ma.us,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,780,9th Grade,12th Grade,780,="0",14,28,10,709,="0",19,12.18,64.05
NEWCASTLE HIGH SCHOOL,Wyoming,http://www.wcsd1.org,WY ,1-Regular school,2-No,2-No,33-Town: Remote,232,9th Grade,12th Grade,232,3,1,10,="0",215,="0",3,9.91,23.40
NEWCASTLE HS,Oklahoma,www.newcastle.k12.ok.us,OK ,1-Regular school,2-No,†,41-Rural: Fringe,531,9th Grade,12th Grade,531,133,2,43,5,305,3,40,16.40,32.38
NEWCOMB HIGH,New Mexico,http://centralschools.org/~nhs/,NM ,1-Regular school,2-No,†,43-Rural: Remote,216,9th Grade,12th Grade,216,212,="0",="0",="0",="0",="0",4,14.59,14.80
NEWCOMERS HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,870,9th Grade,12th Grade,870,1,265,526,19,59,–,="0",16.80,51.80
NEWCOMERSTOWN HIGH SCHOOL,Ohio,http://www.nct.k12.oh.us,OH ,1-Regular school,2-No,–,32-Town: Distant,264,9th Grade,12th Grade,264,="0",="0",7,4,245,="0",8,11.48,23.00
NEWELL HIGH SCHOOL - 01,South Dakota,†,SD ,1-Regular school,2-No,†,43-Rural: Remote,83,9th Grade,12th Grade,83,6,="0",1,4,71,="0",1,6.88,12.06
NEWELL-FONDA HIGH SCHOOL,Iowa,www.newell-fonda.k12.ia.us,IA ,1-Regular school,2-No,†,42-Rural: Distant,149,9th Grade,12th Grade,149,="0",="0",32,2,114,="0",1,10.10,14.75
NEWFANE SENIOR HIGH SCHOOL,New York,www.newfane.wnyric.org,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,578,9th Grade,12th Grade,578,2,2,16,12,542,–,4,15.04,38.42
NEWFIELD HIGH SCHOOL,New York,www.mccsd.net,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1515,9th Grade,12th Grade,1515,="0",86,230,74,1108,–,17,15.59,97.15
NEWFIELD SENIOR HIGH SCHOOL,New York,www.newfieldschools.org,NY ,1-Regular school,2-No,2-No,42-Rural: Distant,225,9th Grade,12th Grade,225,="0",="0",5,8,209,–,3,13.20,17.04
NEWFOUND REGIONAL HIGH SCHOOL,New Hampshire,http://nrhs.sau4.org/,NH ,1-Regular school,2-No,2-No,42-Rural: Distant,381,9th Grade,12th Grade,381,6,9,3,6,354,="0",3,11.91,32.00
NEWINGTON HIGH SCHOOL,Connecticut,†,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,1266,9th Grade,12th Grade,1266,3,108,217,69,820,3,46,13.87,91.25
NEWKIRK HS,Oklahoma,Newkirkps.com,OK ,1-Regular school,2-No,†,42-Rural: Distant,273,9th Grade,12th Grade,273,64,="0",8,3,197,="0",1,14.98,18.22
NEWMARKET JR.-SR. HIGH SCHOOL,New Hampshire,www.newmarket.k12.nh.us,NH ,1-Regular school,2-No,2-No,23-Suburb: Small,259,9th Grade,12th Grade,259,="0",29,9,8,210,="0",3,9.42,27.50
NEWNAN HIGH SCHOOL,Georgia,cowetaschools.org,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,2299,9th Grade,12th Grade,2299,8,12,122,627,1461,1,68,18.39,125.00
NEWPOINT CHARTER SCHOOL,Florida,www.newpointschools.com,FL ,1-Regular school,1-Yes,2-No,12-City: Mid-size,94,9th Grade,12th Grade,94,="0",2,15,10,64,="0",3,94.00,1.00
NEWPORT HARBOR HIGH,California,www.nmusd.us,CA ,1-Regular school,2-No,2-No,13-City: Small,2349,9th Grade,12th Grade,2349,9,66,849,19,1362,7,37,27.35,85.90
NEWPORT HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,21-Suburb: Large,427,9th Grade,12th Grade,427,1,="0",32,93,266,1,34,11.81,36.15
NEWPORT HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,32-Town: Distant,355,9th Grade,12th Grade,355,2,3,21,2,308,1,18,20.74,17.12
NEWPORT HIGH SCHOOL,Oregon,lincoln.k12.or.us/schools/newport_high,OR ,1-Regular school,2-No,†,32-Town: Distant,644,9th Grade,12th Grade,644,21,11,156,7,400,1,48,23.47,27.44
NEWPORT HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,32-Town: Distant,311,9th Grade,12th Grade,311,="0",1,8,2,291,="0",9,11.70,26.57
NEWPORT MIDDLE HIGH SCHOOL (HIGH),New Hampshire,sites.google.com/a/sau43.org/nhs,NH ,1-Regular school,2-No,2-No,41-Rural: Fringe,338,9th Grade,12th Grade,338,1,1,3,="0",330,="0",3,9.66,35.00
NEWPORT SENIOR HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,12-City: Mid-size,1797,9th Grade,12th Grade,1797,3,815,97,37,698,2,145,21.44,83.83
NEWSOME HIGH SCHOOL,Florida,http://www.sdhc.k12.fl.us/,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,2594,9th Grade,12th Grade,2594,12,75,382,157,1854,4,110,19.95,130.00
NEWTON COMM HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,33-Town: Remote,440,9th Grade,12th Grade,440,="0",="0",5,2,432,="0",1,18.07,24.35
NEWTON COUNTY VOC COMPLEX,Mississippi,†,MS ,3-Vocational school,2-No,2-No,42-Rural: Distant,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,5.87
NEWTON FALLS HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,351,9th Grade,12th Grade,351,="0",="0",="0",1,342,="0",8,16.87,20.81
NEWTON H S,Texas,†,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,289,9th Grade,12th Grade,289,="0",1,12,112,156,="0",8,9.73,29.70
NEWTON HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,31-Town: Fringe,760,9th Grade,12th Grade,760,="0",15,77,30,628,5,5,11.09,68.50
NEWTON HIGH SCHOOL,Georgia,newtoncountyschools.org/newtonhigh,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,2359,9th Grade,12th Grade,2359,2,17,171,1809,282,2,76,20.41,115.60
NEWTON MUNICIPAL CAREER CENTER,Mississippi,†,MS ,3-Vocational school,2-No,2-No,33-Town: Remote,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,5.50
NEWTON NORTH HIGH,Massachusetts,http://nnhs.newton.k12.ma.us/,MA ,1-Regular school,2-No,2-No,13-City: Small,2089,9th Grade,12th Grade,2089,2,282,181,93,1431,4,96,11.43,182.74
NEWTON SENIOR HIGH SCHOOL,Iowa,www.newton.k12.ia.us/hs/,IA ,1-Regular school,2-No,†,32-Town: Distant,819,9th Grade,12th Grade,819,2,6,25,7,749,1,29,15.60,52.50
NEWTON SOUTH HIGH,Massachusetts,http://nshs.newton.k12.ma.us/,MA ,1-Regular school,2-No,2-No,13-City: Small,1799,9th Grade,12th Grade,1799,2,347,110,90,1177,="0",73,11.58,155.36
NEWTON SR HIGH,Kansas,www.usd373.org,KS ,1-Regular school,2-No,2-No,32-Town: Distant,1082,9th Grade,12th Grade,1082,8,14,283,23,711,="0",43,12.93,83.70
NEWTON-CONOVER HIGH,North Carolina,nhs.newton-conover.org,NC ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,799,9th Grade,12th Grade,799,1,50,194,113,399,="0",42,14.76,54.14
NEWTOWN HIGH SCHOOL,New York,†,NY ,1-Regular school,2-No,–,11-City: Large,1941,9th Grade,12th Grade,1941,14,446,1181,189,87,–,24,18.51,104.89
NEWTOWN HIGH SCHOOL,Connecticut,newtown.k12.ct.us/~nhs/,CT ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1679,9th Grade,12th Grade,1679,="0",49,69,23,1524,="0",14,13.98,120.12
NEX GEN ACADEMY,New Mexico,http://nexgen.aps.edu/,NM ,1-Regular school,2-No,†,11-City: Large,307,9th Grade,12th Grade,307,3,7,135,6,142,="0",14,13.35,23.00
NEXT CHARTER SCHOOL,New Hampshire,www.nextcharterschool.org,NH ,1-Regular school,1-Yes,2-No,22-Suburb: Mid-size,59,9th Grade,12th Grade,59,1,="0",4,1,53,="0",="0",13.11,4.50
NEXUS ACADEMY OF CLEVELAND,Ohio,†,OH ,1-Regular school,1-Yes,–,11-City: Large,183,9th Grade,12th Grade,183,4,1,17,127,28,="0",6,10.76,17.00
NEXUS ACADEMY OF COLUMBUS,Ohio,†,OH ,1-Regular school,1-Yes,–,11-City: Large,147,9th Grade,12th Grade,147,="0",="0",18,60,59,="0",10,10.50,14.00
NEXUS ACADEMY OF INDIANAPOLIS,Indiana,†,IN ,1-Regular school,1-Yes,2-No,11-City: Large,131,9th Grade,12th Grade,131,="0",="0",14,62,45,="0",10,10.92,12.00
NEXUS ACADEMY OF TOLEDO,Ohio,†,OH ,1-Regular school,1-Yes,–,11-City: Large,127,9th Grade,12th Grade,127,="0",1,16,49,49,="0",12,9.07,14.00
NF WOODS ADV TECH AND ARTS CENTER,North Carolina,www.mgsd.k12.nc.us/page.cfm?p=2496,NC ,3-Vocational school,2-No,2-No,21-Suburb: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",26.75
NIAGARA FALLS HIGH SCHOOL,New York,www.nfschools.net,NY ,1-Regular school,2-No,2-No,13-City: Small,1956,9th Grade,12th Grade,1956,64,35,84,740,952,–,81,17.78,110.03
NIAGARA-WHEATFIELD SENIOR HIGH SCHOOL,New York,www.nwcsd.k12.ny.us,NY ,1-Regular school,2-No,2-No,41-Rural: Fringe,1269,9th Grade,12th Grade,1269,85,21,21,46,1065,–,31,18.72,67.80
NICEVILLE SENIOR HIGH SCHOOL,Florida,http://www.okaloosaschools.com/,FL ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1977,9th Grade,12th Grade,1977,4,33,126,95,1585,2,132,20.81,95.00
NICHOLAS COUNTY CAREER/TECHNICAL CENTER,West Virginia,†,WV ,3-Vocational school,†,†,42-Rural: Distant,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",14.00
NICHOLAS COUNTY HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,41-Rural: Fringe,720,9th Grade,12th Grade,720,="0",5,4,7,701,="0",3,15.65,46.00
NICHOLS CAREER CTR.,Missouri,†,MO ,3-Vocational school,2-No,2-No,13-City: Small,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",20.80
NICKERSON HIGH,Kansas,www.usd309ks.org,KS ,1-Regular school,2-No,2-No,42-Rural: Distant,332,9th Grade,12th Grade,332,2,2,32,5,273,1,17,11.94,27.80
NICOLET HIGH,Wisconsin,www.nicolet.us,WI ,1-Regular school,2-No,2-No,21-Suburb: Large,1115,9th Grade,12th Grade,1115,6,53,69,232,694,3,58,14.27,78.11
NICOLLET SENIOR HIGH SCHOOL,Minnesota,http://www.isd507.k12.mn.us/,MN ,1-Regular school,2-No,2-No,42-Rural: Distant,104,9th Grade,12th Grade,104,="0",="0",4,="0",99,="0",1,18.54,5.61
NIGHT SCH,Texas,www.pisd.edu,TX ,4-Alternative/other school,2-No,2-No,11-City: Large,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",="0.00",="0.51"
NILES CENTRAL,Illinois,†,IL ,1-Regular school,2-No,2-No,13-City: Small,20,9th Grade,12th Grade,20,="0",="0",4,6,10,="0",="0",2.63,7.60
NILES COMM. SCHOOLS ADULT EDUCATION,Michigan,†,MI ,4-Alternative/other school,2-No,2-No,13-City: Small,25,9th Grade,12th Grade,25,="0",1,="0",3,19,="0",2,20.00,1.25
NILES COMMUNITY HIGH SCHOOL,Michigan,http://niles.troy.k12.mi.us/index.html,MI ,1-Regular school,2-No,2-No,13-City: Small,102,9th Grade,12th Grade,102,="0",4,3,15,78,="0",2,10.10,10.10
NILES NORTH HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,13-City: Small,2130,9th Grade,12th Grade,2130,8,738,278,227,864,4,11,13.66,155.95
NILES WEST HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,13-City: Small,2507,9th Grade,12th Grade,2507,4,813,370,132,1171,1,16,14.60,171.70
NIMITZ H S,Texas,www.irvingisd.net,TX ,1-Regular school,2-No,2-No,12-City: Mid-size,2463,9th Grade,12th Grade,2463,27,63,1920,182,254,4,13,14.71,167.44
NIMITZ H S,Texas,www.aldine.k12.tx.us,TX ,1-Regular school,2-No,2-No,21-Suburb: Large,1892,9th Grade,12th Grade,1892,2,26,911,848,55,15,35,13.49,140.25
NINETY-SIX HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,42-Rural: Distant,504,9th Grade,12th Grade,504,2,1,9,108,376,="0",8,14.82,34.00
NIOBRARA COUNTY HIGH SCHOOL,Wyoming,http://www.growingluskleaders.org/index.php,WY ,1-Regular school,2-No,2-No,43-Rural: Remote,364,9th Grade,12th Grade,364,1,1,24,2,331,2,3,14.05,25.90
NIPMUC REGIONAL HIGH,Massachusetts,http://www.mursd.org/,MA ,1-Regular school,2-No,2-No,41-Rural: Fringe,618,9th Grade,12th Grade,618,="0",9,14,5,579,="0",11,13.06,47.33
NISKAYUNA HIGH SCHOOL,New York,www.niskyschools.org,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1392,9th Grade,12th Grade,1392,2,215,30,52,1075,–,18,14.25,97.70
NITRO HIGH SCHOOL,West Virginia,†,WV ,1-Regular school,†,†,22-Suburb: Mid-size,759,9th Grade,12th Grade,759,1,3,13,44,689,="0",9,18.07,42.00
NIWOT HIGH SCHOOL,Colorado,http://nhs.svvsd.org,CO ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1279,9th Grade,12th Grade,1279,8,117,309,18,792,8,27,22.05,58.01
NIXA HIGH,Missouri,www.nixahs.net,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,1733,9th Grade,12th Grade,1733,14,10,62,15,1555,1,76,16.86,102.81
NIXON H S,Texas,†,TX ,1-Regular school,2-No,2-No,11-City: Large,2088,9th Grade,12th Grade,2088,="0",6,2074,3,5,="0",="0",15.02,138.99
NIXON-SMILEY H S,Texas,†,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,284,9th Grade,12th Grade,284,="0",="0",214,3,67,="0",="0",10.22,27.80
NIXYAAWII COMMUNITY SCHOOL,Oregon,www.nixyaawii.k12.or.us/,OR ,1-Regular school,1-Yes,†,42-Rural: Distant,55,9th Grade,12th Grade,55,42,="0",4,="0",6,="0",3,12.79,4.30
NM MILITARY INSTITUTE,New Mexico,http://www.nmmi.edu/,NM ,1-Regular school,2-No,–,33-Town: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
NM SCHOOL FOR THE ARTS,New Mexico,http://www.nmschoolforthearts.org/,NM ,1-Regular school,1-Yes,†,13-City: Small,206,9th Grade,12th Grade,206,6,4,59,7,127,2,1,11.96,17.22
NM WOMEN'S CORRECTION,New Mexico,†,NM ,4-Alternative/other school,2-No,–,41-Rural: Fringe,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
NOBLE HS,Oklahoma,www.nobleps.com,OK ,1-Regular school,2-No,†,22-Suburb: Mid-size,839,9th Grade,12th Grade,839,124,11,41,21,641,="0",1,17.59,47.71
NOBLESVILLE HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,21-Suburb: Large,2759,9th Grade,12th Grade,2759,4,64,138,96,2388,3,66,19.99,138.00
NOCONA H S,Texas,www.noconaisd.net,TX ,1-Regular school,2-No,2-No,33-Town: Remote,246,9th Grade,12th Grade,246,4,1,67,2,167,="0",5,9.18,26.81
NODAWAY VALLEY HIGH SCHOOL,Iowa,nodawayvalley.org,IA ,1-Regular school,2-No,†,43-Rural: Remote,197,9th Grade,12th Grade,197,="0",1,2,1,190,="0",3,10.40,18.95
NOGALES HIGH,California,†,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,1966,9th Grade,12th Grade,1966,2,227,1649,40,35,4,9,25.54,76.98
NOGALES HIGH SCHOOL,Arizona,http://www.nusd.k12.az.us/nhs,AZ ,1-Regular school,2-No,–,33-Town: Remote,1705,9th Grade,12th Grade,1705,1,8,1676,1,17,1,1,23.04,74.00
NOKOMIS REGIONAL HIGH SCHOOL,Maine,†,ME ,1-Regular school,2-No,2-No,42-Rural: Distant,651,9th Grade,12th Grade,651,="0",="0",7,3,629,="0",12,13.02,50.00
NOLENSVILLE HIGH SCHOOL,TENNESSEE,†,TN ,1-Regular school,2-No,2-No,41-Rural: Fringe,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,–
NONNEWAUG HIGH SCHOOL,Connecticut,www.ctreg14.org/NHS/nhs.htm,CT ,1-Regular school,2-No,2-No,41-Rural: Fringe,750,9th Grade,12th Grade,750,="0",16,12,11,705,="0",6,11.88,63.15
NORCO HIGH,California,www.cnusd.k12.ca.us/nohs,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,2222,9th Grade,12th Grade,2222,6,87,1002,62,1022,12,31,24.09,92.24
